,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
2864,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2865,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2866,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2867,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2868,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2869,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2870,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2871,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2872,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2873,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2874,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2875,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2876,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2877,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2878,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2879,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2880,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2881,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2882,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2883,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2884,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2885,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2886,2014,Perodua,Myvi,New,Manual,1.3,2018,0,47051
2887,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2888,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2889,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2890,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2891,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2892,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2893,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2894,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2895,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2896,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2897,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2898,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2899,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2900,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2901,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2902,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2903,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2904,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2905,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2906,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2907,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2908,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2909,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2910,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2911,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2912,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2913,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2914,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2915,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2916,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2917,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2918,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2919,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2920,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2921,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2922,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2923,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2924,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2925,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2926,2014,Perodua,Myvi,New,Manual,1.3,2018,0,46943
2927,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2928,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2929,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2930,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2931,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2932,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2933,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2934,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2935,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2936,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2937,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2938,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2939,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2940,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2941,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2942,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2943,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2944,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2945,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2946,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2947,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2948,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2949,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2950,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2951,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2952,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2953,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2954,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2955,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2956,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2957,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2958,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2959,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2960,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2961,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2962,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2963,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2964,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2965,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2966,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2967,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2968,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2969,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2970,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2971,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2972,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2973,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2974,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2975,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2976,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2977,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2978,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2979,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2980,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2981,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2982,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2983,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2984,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2985,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2986,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2987,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2988,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2989,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2990,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2991,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2992,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2993,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2994,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2995,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2996,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2997,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2998,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2999,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
3000,2010,Perodua,Alza,Used,Automatic,1.5,2018,52500,37800
3001,2008,Perodua,Myvi,Used,Automatic,1.3,2018,107500,18500
3002,2000,Perodua,Kancil,Used,Manual,0.7,2018,122500,4800
3003,2013,Perodua,Myvi,Used,Automatic,1.5,2018,37500,34500
3004,2006,Perodua,Myvi,Used,Automatic,1.3,2018,87500,18000
