,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1767,2003,Toyota,Camry,Used,Automatic,2.0,224999.5,11800.0
1768,2019,Proton,Perdana,Used,Automatic,2.0,92499.5,49999.0
1769,2007,Nissan,X-Trail,Used,Automatic,2.5,184999.5,16800.0
1770,2019,Proton,Persona,Used,Automatic,1.6,12499.5,19800.0
1771,2003,Nissan,Cefiro,Used,Automatic,2.0,154999.5,6900.0
1772,2018,Mercedes,Benz,Used,Automatic,2.0,62499.5,158900.0
1773,2009,Honda,City,Used,Automatic,1.5,97499.5,14995.0
1774,2015,Mercedes,Benz,Used,Automatic,2.0,77499.5,79888.0
1775,2017,Honda,Hr-V,Used,Automatic,1.8,114999.5,38888.0
1776,2015,Audi,A8,Used,Automatic,3.0,62499.5,109780.0
1777,2014,Ferrari,458,Used,Automatic,4.5,22499.5,880000.0
1778,2012,Mercedes,Benz,Used,Automatic,1.8,104999.5,53800.0
1779,2015,ORI2015,Mazda,Used,Automatic,2.0,52499.5,44888.0
1780,2014,Volkswagen,Passat,Used,Automatic,1.8,114999.5,29990.0
1781,2017,Volkswagen,Tiguan,Used,Automatic,1.4,114999.5,56800.0
1782,2011,ORI11,Toyota,Used,Automatic,2.4,114999.5,35888.0
1783,2018,Ford,Ranger,Used,Automatic,2.0,104999.5,113800.0
1784,2012,ORI2012,Hyundai,Used,Automatic,2.0,92499.5,21888.0
1785,2022,27000km,Nissan,Used,Automatic,2.0,27499.5,119800.0
1786,2019,Proton,Exora,Used,Automatic,1.6,52499.5,33800.0
1787,2019,Mercedes,Benz,Recon,Automatic,2.0,27499.5,179000.0
1788,2016,ORI16,Mazda,Used,Automatic,2.5,72499.5,52888.0
1789,2019,Porsche,Cayenne,Used,Automatic,3.0,77499.5,425000.0
1790,2021,OFFER,Kaw,Recon,Automatic,1.3,17499.5,169000.0
1791,2019,Subaru,Xv,Used,Automatic,2.0,67499.5,68800.0
1792,2018,Perodua,Axia,Used,Automatic,1.0,92499.5,20800.0
1793,2012,Mini,Cooper,Used,Automatic,1.6,87499.5,55800.0
1794,2013,Toyota,Camry,Used,Automatic,2.5,114999.5,49999.0
1795,2017,Honda,City,Used,Automatic,1.5,124999.5,43500.0
1796,2018,Toyota,Camry,Used,Automatic,2.5,97499.5,116999.0
1797,2021,Nissan,Almera,Used,Automatic,1.0,92499.5,56800.0
1798,2022,Toyota,Voxy,Recon,Automatic,2.0,12499.5,203000.0
1799,2015,REG,2018,Used,Automatic,2.5,82499.5,139999.0
1800,2022,Land,Rover,Recon,Automatic,3.0,32499.5,893000.0
1801,2019,Kia,Optima,Used,Automatic,2.0,97499.5,99800.0
1802,2019,Honda,City,Used,Automatic,1.5,72499.5,49888.0
1803,2020,Toyota,Alphard,Recon,Automatic,2.5,37499.5,189000.0
1804,2018,Honda,Cr-V,Used,Automatic,1.5,134999.5,92000.0
1805,2020,Toyota,Rush,Used,Automatic,1.5,77499.5,66800.0
1806,2012,Toyota,Vellfire,Used,Automatic,2.4,92499.5,82800.0
1807,2016,Mazda,Cx-3,Used,Automatic,2.0,87499.5,55800.0
1808,2014,Nissan,Grand,Used,Automatic,1.8,82499.5,26780.0
1809,2018,Bmw,330E,Used,Automatic,2.0,67499.5,63780.0
1810,2020,Peugeot,3008,Used,Automatic,1.6,72499.5,66780.0
1811,2017,Hyundai,Tucson,Used,Automatic,2.0,92499.5,47780.0
1812,2014,Honda,Accord,Used,Automatic,2.0,97499.5,37800.0
1813,2018,Honda,Cr-V,Used,Automatic,2.0,77499.5,54780.0
1814,2014,Mercedes,Benz,Used,Automatic,2.0,92499.5,66780.0
1815,2022,Nissan,Gt-R,Recon,Automatic,3.8,2499.5,1250000.0
1816,2003,Toyota,Vios,Used,Automatic,1.5,124999.5,13800.0
1817,2014,Mercedes,Benz,Used,Automatic,2.0,134999.5,66600.0
1818,2021,Porsche,Taycan,Recon,Automatic,10.0,7499.5,348000.0
1819,2020,Honda,Hr-V,Used,Automatic,1.5,87499.5,63780.0
1820,2013,Nissan,Grand,Used,Automatic,1.8,114999.5,21780.0
