,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1597,2017,Nissan,Navara,Used,Automatic,2488,77499.5,58999
1598,2013,Honda,Cr-V,Used,Automatic,1997,124999.5,29800
1599,2018,Bmw320i,M,Used,Automatic,1998,47499.5,115800
1600,2023,Perodua,Alza,Used,Automatic,1495,12499.5,71800
1601,2016,Honda,Hr-V,Used,Automatic,1799,114999.5,49800
1602,2020,Proton,Persona,Used,Automatic,1597,47499.5,29800
1603,2017,Honda,Jazz,Used,Automatic,1497,62499.5,55800
1604,2012,Honda,Accord,Used,Automatic,1997,124999.5,24800
1605,2014,Toyota,Vios,Used,Automatic,1497,124999.5,32800
1606,2015,Perodua,Myvi,Used,Automatic,1298,92499.5,24800
1607,2016,/17,Mitsubishi,Used,Automatic,1998,87499.5,36718
1608,2013,Perodua,Myvi,Used,Automatic,1298,87499.5,19718
1609,2014,Honda,Civic,Used,Automatic,1497,104999.5,21800
1610,2017,Bmw,X1,Used,Automatic,1998,82499.5,53800
1611,2016,Mercedes,Benz,Used,Automatic,1991,62499.5,97800
1612,2018,Bmw,X5,Used,Automatic,1997,87499.5,76800
1613,2018,Bmw,X3,Used,Automatic,1998,77499.5,107800
1614,2021,Toyota,Alphard,Used,Automatic,2493,22499.5,222800
1615,2019,Bmw,X3,Used,Automatic,1998,47499.5,122800
1616,2020,Subaru,Xv,Used,Automatic,1995,82499.5,61800
1617,2007,Land,Rover,Used,Automatic,4196,92499.5,52800
1618,2017,Bmw,X1,Used,Automatic,1998,82499.5,61800
1619,2019,Bmw,X1,Used,Automatic,1998,77499.5,83800
1620,2016,Mercedes,Benz,Used,Automatic,3498,87499.5,98800
1621,2017,Toyota,Sienta,Used,Automatic,1496,92499.5,49700
1622,2018,Mercedes,Benz,Used,Automatic,1595,67499.5,95800
1623,2017,Bmw,528I,Used,Automatic,1997,87499.5,79800
1624,2024,Proton,Saga,Used,Automatic,1332,2499.5,33800
1625,2020,Bmw,330I,Used,Automatic,1998,52499.5,164800
1626,2021,Mercedes,Benz,Used,Automatic,1991,32499.5,264800
