,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
322,2013,Mercedes-Benz,A250,used,Automatic,2.0,87500.0,73888.0
323,2015,Mazda,2,used,Automatic,1.5,107500.0,41800.0
324,2015,Proton,Perdana,used,Automatic,2.0,97500.0,37800.0
325,2021,nan,,used,Automatic,2.0,17500.0,298000.0
326,2013,Volkswagen,Jetta,used,Automatic,1.4,122500.0,22800.0
327,2017,MINI,Clubman,used,Automatic,2.0,42500.0,188888.0
328,2021,nan,,used,Automatic,2.5,72500.0,135800.0
329,2016,Mercedes-Benz,C350 e,used,Automatic,2.0,97500.0,99999.0
330,2016/2017,Audi,Q3,used,Automatic,1.4,77500.0,69588.0
331,2015,Mercedes-Benz,A45 AMG,used,Automatic,2.0,82500.0,163800.0
332,2016,nan,,used,Automatic,2.5,62500.0,58888.0
333,2014,Proton,Saga,used,Automatic,1.3,107500.0,15800.0
334,2019,Proton,Saga,used,Automatic,1.3,72500.0,27800.0
335,2016,Honda,City,used,Automatic,1.5,87500.0,45800.0
336,2018,Perodua,Myvi,used,Automatic,1.3,67500.0,37800.0
337,2013/2014,Honda,Accord,used,Automatic,2.0,132500.0,44800.0
338,2013,Toyota,Vios,used,Automatic,1.5,117500.0,31999.0
339,2014/2016,Land,Rover Range Rover Sport,used,Automatic,3.0,87500.0,199999.0
340,2014,Kia,Sportage,used,Automatic,2.0,122500.0,37999.0
341,2013,Kia,Optima K5,used,Automatic,2.0,97500.0,36999.0
342,2014,Hyundai,Tucson,used,Automatic,2.0,92500.0,35999.0
343,2013/2014,Volkswagen,Golf,used,Automatic,2.0,102500.0,85888.0
344,2015,BMW,320i,used,Automatic,2.0,82500.0,79800.0
345,2019,Honda,Civic,used,Automatic,1.8,72500.0,89800.0
346,2016,Honda,Civic,used,Automatic,1.5,67500.0,86800.0
347,2014,Mercedes-Benz,A200,used,Automatic,1.6,97500.0,75800.0
348,2017/2019,Proton,Perdana,used,Automatic,2.4,72500.0,44800.0
349,2020/2021,Mitsubishi,Triton,used,Automatic,2.4,92500.0,91800.0
350,2016,Honda,Accord,used,Automatic,2.0,82500.0,56800.0
351,2017,Volkswagen,Passat,used,Automatic,1.8,57500.0,53800.0
352,2019,Mercedes-Benz,C200,used,Automatic,1.5,57500.0,151800.0
353,2014,Honda,City,used,Automatic,1.5,142500.0,35800.0
354,2014,Peugeot,208,used,Automatic,1.6,97500.0,19800.0
355,2017,BMW,X1,used,Automatic,2.0,122500.0,88800.0
356,2017,nan,,used,Automatic,2.0,87500.0,159800.0
357,2018,Honda,Jazz,used,Automatic,1.5,87500.0,59800.0
358,2017,MINI,Countryman,used,Automatic,2.0,87500.0,136800.0
359,2014,Audi,Q5,used,Automatic,2.0,87500.0,45800.0
360,2015/2020,Toyota,Harrier,used,Automatic,2.0,82500.0,94800.0
361,2014,Mitsubishi,ASX,used,Automatic,2.0,92500.0,33999.0
362,2015,Mercedes-Benz,E300,used,Automatic,2.1,132500.0,65800.0
363,2013,Hyundai,Sonata,used,Automatic,2.0,107500.0,27999.0
364,2020/2021,Proton,X70,used,Automatic,1.8,72500.0,72800.0
365,2016/2017,Isuzu,D-Max,used,Manual,2.5,77500.0,53800.0
366,2020,nan,,used,Automatic,2.8,32500.0,298000.0
367,2020,Audi,Q7,used,Automatic,3.0,37500.0,438000.0
368,2016,Mazda,3,used,Automatic,2.0,107500.0,49900.0
