,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,year_extracted,old_price
45,2013,Nissan,Grand,Used,Automatic,1.8,104999.5,2025,25900
46,2014,Mazda,3,Used,Automatic,1.6,104999.5,2025,23900
47,2012,Honda,City,Used,Automatic,1.5,104999.5,2025,29800
48,2019,Perodua,Bezza,Used,Automatic,1.3,57499.5,2025,35800
49,2016,Toyota,Hilux,Used,Automatic,2.8,62499.5,2025,82800
50,2018,Honda,Civic,Used,Automatic,1.8,154999.5,2025,73800
51,2016,Mercedes,Glc250,Used,Automatic,2,97499.5,2025,113800
52,2018,Ford,Ranger,Used,Automatic,2,77499.5,2025,76800
53,2009,Perodua,Myvi,Used,Automatic,1.3,124999.5,2025,12800
55,2019,Ford,Ranger,Used,Automatic,2,62499.5,2025,82800
56,2022,Mitsubishi,Xpander,Used,Automatic,1.5,27499.5,2025,70888
57,2020,Honda,Civic,Used,Automatic,1.8,47499.5,2025,74888
58,2015,Perodua,Axia,Used,Automatic,1,92499.5,2025,23800
59,2015,Proton,Saga,Used,Automatic,1.3,92499.5,2025,9900
60,2016,Perodua,Myvi,Used,Automatic,1.5,124999.5,2025,29800
61,2020,Proton,Persona,Used,Automatic,1.6,82499.5,2025,30800
62,2019,Mazda,Cx-5,Used,Automatic,2,124999.5,2025,85800
63,2016,Toyota,Hilux,Used,Automatic,2.8,87499.5,2025,82800
64,2018,Perodua,Bezza,Used,Automatic,1.3,72499.5,2025,32800
65,2019,Ford,Ranger,Used,Automatic,2,104999.5,2025,84000
66,2018,Volkswagen,Tiguan,Recon,Automatic,1.4,114999.5,2025,59800
67,2019,Toyota,C-Hr,Used,Automatic,1.8,82499.5,2025,96800
68,2020,Porsche,Macan,Recon,Automatic,3,57499.5,2025,335000
69,2021,Lexus,Rx450H,Recon,Automatic,3.5,22499.5,2025,385000
70,2020,Porsche,Macan,Recon,Automatic,3,57499.5,2025,335000
71,2017,Mercedes,,Used,Automatic,2,82499.5,2025,105800
72,2016,Nissan,Almera,Used,Automatic,1.5,87499.5,2025,27800
73,2015,Toyota,Camry,Used,Automatic,2.5,134999.5,2025,0
74,2015,Perodua,Myvi,Used,Automatic,1.3,2499.5,2025,0
75,2020,Mercedes,,Recon,Automatic,2,22499.5,2025,0
76,2021,Toyota,Alphard,Recon,Automatic,2.5,17499.5,2025,0
77,2016,Proton,Saga,Used,Automatic,1.3,72499.5,2025,0
78,2020,Toyota,Alphard,Recon,Automatic,3.5,12499.5,2025,0
79,2018,Honda,Civic,Used,Automatic,1.5,82499.5,2025,91800
80,2021,Mercedes,,Used,Automatic,2,67499.5,2025,219800
81,2014,Perodua,Alza,Used,Automatic,1.5,134999.5,2025,29800
83,2013,Nissan,Gt-R,Used,Automatic,3.8,62499.5,2025,389800
